TIKTOK Ad & Store Data 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Januari 2026,,,,,,,Februari 2026,,,,,,,Maret 2026,,,,,,,April 2026,,,,,,,Mei 2026,,,,,
DETAIL,TOTAL,Week 1,Week 2,Week 3,Week 4,,DETAIL,TOTAL,Week 1,Week 2,Week 3,Week 4,,DETAIL,TOTAL,Week 1,Week 2,Week 3,Week 4,,DETAIL,TOTAL,Week 1,Week 2,Week 3,Week 4,,DETAIL,TOTAL,Week 1,Week 2,Week 3,Week 4
Target GMV Max,Rp850.000.000,Rp297.500.000,Rp127.500.000,Rp127.500.000,Rp297.500.000,,Target GMV Max,Rp850.000.000,Rp297.500.000,Rp127.500.000,Rp127.500.000,Rp297.500.000,,Target GMV Max,Rp850.000.000,Rp297.500.000,Rp127.500.000,Rp127.500.000,Rp297.500.000,,Target GMV Max,Rp850.000.000,Rp297.500.000,Rp127.500.000,Rp127.500.000,Rp297.500.000,,Target CPC,Rp850.000.000,Rp297.500.000,Rp127.500.000,Rp127.500.000,Rp297.500.000
Spending,Rp886.387.114,Rp202.021.872,Rp190.660.653,Rp187.741.680,Rp305.962.909,,Spending,Rp869.755.239,Rp234.442.629,Rp261.990.647,Rp221.975.433,Rp151.346.530,,Spending,Rp822.954.299,Rp145.564.704,Rp115.315.115,Rp117.135.895,Rp444.938.585,,Spending,Rp648.517.257,Rp172.486.045,Rp128.260.190,Rp135.943.128,Rp211.827.894,,Spending,Rp545.575.006,Rp235.551.444,Rp162.790.155,Rp147.233.407,
%Spending,"104,28%","67,91%","149,54%","147,25%","102,84%",,%Spending,"102,32%","78,80%","205,48%","174,10%","50,87%",,%Spending,"96,82%","48,93%","90,44%","91,87%","149,56%",,%Spending,"76,30%","57,98%","100,60%","106,62%","71,20%",,%Spending,"64,19%","79,18%","127,68%","115,48%","0,00%"
Target GMV,Rp11.050.000.000,Rp3.867.500.000,Rp1.657.500.000,Rp1.657.500.000,Rp3.867.500.000,,Target GMV,Rp11.050.000.000,Rp3.867.500.000,Rp1.657.500.000,Rp1.657.500.000,Rp3.867.500.000,,Target GMV,Rp11.050.000.000,Rp3.867.500.000,Rp1.657.500.000,Rp1.657.500.000,Rp3.867.500.000,,Target GMV,Rp11.050.000.000,Rp3.867.500.000,Rp1.657.500.000,Rp1.657.500.000,Rp3.867.500.000,,Target GMV,Rp11.050.000.000,Rp3.867.500.000,Rp1.657.500.000,Rp1.657.500.000,Rp3.867.500.000
GMV,Rp11.600.635.550,Rp3.214.641.522,Rp2.608.703.330,Rp2.216.724.697,Rp3.560.566.001,,GMV,Rp11.037.616.028,Rp2.531.863.003,Rp2.862.307.664,Rp3.296.559.108,Rp2.346.886.253,,GMV,Rp10.021.593.431,Rp1.892.175.849,Rp1.331.861.216,Rp1.258.545.288,Rp5.539.011.078,,GMV,Rp11.255.769.955,Rp3.214.641.522,Rp2.608.703.330,Rp2.216.724.697,Rp3.215.700.406,,GMV,Rp6.604.630.671,Rp2.837.960.988,Rp1.991.917.830,Rp1.774.751.853,
%GMV,"104,98%","83,12%","157,39%","133,74%","92,06%",,%GMV,"99,89%","65,47%","172,69%","198,89%","60,68%",,%GMV,"90,69%","48,93%","80,35%","75,93%","143,22%",,%GMV,"101,86%","83,12%","157,39%","133,74%","83,15%",,%GMV,"59,77%","73,38%","120,18%","107,07%","0,00%"
ROI,"13,09","15,91","13,68","11,81","11,64",,ROI,"12,69","10,80","10,93","14,85","15,51",,ROI,"12,18","13,00","11,55","10,74","12,45",,ROI,"17,36","18,64","20,34","16,31","15,18",,ROI,"12,11","12,05","12,24","12,05",#DIV/0!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Week 1,Week 2,Week 3,Week 4,Total,,,Week 1,Week 2,Week 3,Week 4,Total,,,Week 1,Week 2,Week 3,Week 4,Total,,,Week 1,Week 2,Week 3,Week 4,Total,,,Week 1,Week 2,Week 3,Week 4,Total
Gross Revenue,Rp3.466.765.725,Rp2.889.939.699,Rp2.424.971.781,Rp3.540.039.697,Rp12.321.716.902,,Gross Revenue,Rp2.686.648.682,Rp3.075.270.013,Rp3.589.649.576,Rp2.601.301.502,Rp11.952.869.773,,Gross Revenue,Rp2.002.359.709,Rp1.360.097.447,Rp1.287.802.284,Rp5.342.851.274,Rp9.993.110.714,,Gross Revenue,Rp3.466.765.725,Rp2.889.939.699,Rp2.424.971.781,Rp3.141.080.434,Rp11.922.757.639,,Gross Revenue,Rp2.785.078.823,Rp1.995.546.777,Rp2.013.702.668,,Rp6.794.328.268
Ad GMV,Rp3.214.641.522,Rp2.608.703.330,Rp2.216.724.697,Rp3.560.566.001,Rp11.600.635.550,,Ad GMV,Rp2.531.863.003,Rp2.862.307.664,Rp3.296.559.108,Rp2.346.886.253,Rp11.037.616.028,,Ad GMV,Rp1.892.175.849,Rp1.331.861.216,Rp1.258.545.288,Rp5.539.011.078,Rp10.021.593.431,,Ad GMV,Rp3.214.641.522,Rp2.608.703.330,Rp2.216.724.697,Rp3.215.700.406,Rp11.255.769.955,,Ad GMV,Rp2.837.960.988,Rp1.991.917.830,Rp1.774.751.853,,Rp6.604.630.671
Organic GMV,Rp252.124.203,Rp281.236.369,Rp208.247.084,-Rp20.526.304,Rp721.081.352,,Organic GMV,Rp154.785.679,Rp212.962.349,Rp293.090.468,Rp254.415.249,Rp915.253.745,,Organic GMV,Rp110.183.860,Rp28.236.231,Rp29.256.996,-Rp196.159.804,-Rp28.482.717,,Organic GMV,Rp252.124.203,Rp281.236.369,Rp208.247.084,-Rp74.619.972,Rp666.987.684,,Organic GMV,-Rp52.882.165,Rp3.628.947,Rp238.950.815,Rp0,Rp189.697.597
SKU Order,41.575,29.299,25.223,34.240,130.337,,SKU Order,26.745,36.831,48.812,35.468,147.856,,SKU Order,26.846,17.378,15.379,73.211,132.814,,SKU Order,41.575,29.299,25.223,35.987,132.084,,SKU Order,33.541,24.691,21.538,,79.770
Ad Order,39.888,27.505,23.943,35.131,Rp126.467,,Ad Order,25.554,34.728,46.242,33.184,Rp139.708,,Ad Order,25.892,17.185,15.187,71.672,Rp129.936,,Ad Order,39.888,27.505,23.943,33.899,Rp125.235,,Ad Order,31.360,23.595,24.214,,79.169
Organic Order,1.687,1.794,1.280,-891,3.870,,Organic Order,1.191,2.103,2.570,2.284,8.148,,Organic Order,954,193,192,1.539,2.878,,Organic Order,1.687,1.794,1.280,2.088,6.849,,Organic Order,2.181,1.096,-2.676,0,601
GMV Ad Contribution,"92,73%","90,27%","91,41%","100,58%","94,15%",,GMV Ad Contribution,"94,24%","93,08%","91,84%","90,22%","92,34%",,GMV Ad Contribution,"94,50%","97,92%","97,73%","103,67%","100,29%",,GMV Ad Contribution,"92,73%","90,27%","91,41%","102,38%","94,41%",,GMV Ad Contribution,"101,90%","99,82%","88,13%",#DIV/0!,"97,21%"
Ad Cost,Rp210.024.489,Rp201.158.300,Rp199.752.190,Rp306.542.374,Rp917.477.353,,Ad Cost,Rp234.442.629,Rp262.390.647,Rp225.100.896,Rp155.305.990,Rp877.240.162,,Ad Cost,Rp149.865.445,Rp120.245.845,Rp132.734.620,Rp469.960.457,Rp872.806.367,,Ad Cost,Rp265.358.482,Rp224.860.840,Rp182.932.252,Rp278.254.175,Rp951.405.749,,Ad Cost,Rp252.849.024,Rp180.870.685,Rp163.722.097,,Rp597.441.806
Ad ROI,"15,31","12,97","11,10","11,62","12,64",,Ad ROI,"10,80","10,91","14,64","15,11","12,58",,Ad ROI,"13,00","11,55","10,74","12,45","11,48",,Ad ROI,"12,11","11,60","12,12","11,56","11,83",,Ad ROI,"11,22","11,01","10,84",#DIV/0!,"11,05"
Ad Take Rate,"6,06%","6,96%","8,24%","8,66%","7,45%",,Ad Take Rate,"8,73%","8,53%","6,27%","5,97%","7,34%",,Ad Take Rate,"7,27%","8,48%","9,10%","8,33%","8,73%",,Ad Take Rate,"7,65%","7,78%","7,54%","8,86%","7,98%",,Ad Take Rate,"9,08%","9,06%","8,13%",#DIV/0!,"8,79%"
Ad ROI to Store,"16,51","14,37","12,14","11,55","13,43",,Ad ROI to Store,"11,46","11,72","15,95","16,75","13,63",,Ad ROI to Store,"13,76","11,79","10,99","12,01","11,45",,Ad ROI to Store,"13,06","12,85","13,26","11,29","12,53",,Ad ROI to Store,"11,01","11,03","12,30",#DIV/0!,"11,37"
Gross Profit,Rp3.256.741.236,Rp2.688.781.399,Rp2.225.219.591,Rp3.233.497.323,Rp11.404.239.549,,Gross Profit,Rp2.452.206.053,Rp2.812.879.366,Rp3.364.548.680,Rp2.445.995.512,Rp11.075.629.611,,Gross Profit,Rp1.856.795.005,Rp1.244.782.332,Rp1.170.666.389,Rp4.897.912.689,Rp9.120.304.347,,Gross Profit,Rp3.201.407.243,Rp2.665.078.859,Rp2.242.039.529,Rp2.862.826.259,Rp10.971.351.890,,Gross Profit,Rp2.532.229.799,Rp1.814.676.092,Rp1.849.980.571,Rp0,Rp6.196.886.462
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost GMV MAX,Rp202.021.872,Rp190.660.653,Rp187.741.680,Rp305.962.909,Rp886.387.114,,Cost GMV MAX,Rp234.442.629,Rp261.990.647,Rp221.975.433,Rp151.346.530,Rp869.755.239,,Cost GMV MAX,Rp145.564.704,Rp115.315.115,Rp117.135.895,Rp444.938.585,Rp822.954.299,,Cost GMV MAX,Rp251.815.971,Rp210.849.098,Rp170.829.036,Rp261.650.729,Rp895.144.834,,Cost GMV MAX,Rp235.551.444,Rp162.790.155,Rp147.233.407,,Rp545.575.006
Cost TTAM,Rp8.002.617,Rp10.497.647,Rp12.010.510,Rp579.465,Rp31.090.239,,Cost TTAM,Rp0,Rp400.000,Rp3.125.463,Rp3.959.460,Rp7.484.923,,Cost TTAM,Rp4.300.741,Rp4.930.730,Rp15.598.725,Rp25.021.872,Rp49.852.068,,Cost TTAM,Rp13.542.511,Rp14.011.742,Rp12.103.216,Rp16.603.446,Rp56.260.915,,Cost TTAM,Rp17.297.580,Rp18.080.530,Rp16.488.690,,Rp51.866.800
Total,Rp210.024.489,Rp201.158.300,Rp199.752.190,Rp306.542.374,Rp917.477.353,,Total,Rp234.442.629,Rp262.390.647,Rp225.100.896,Rp155.305.990,Rp877.240.162,,Total,Rp149.865.445,Rp120.245.845,Rp132.734.620,Rp469.960.457,Rp872.806.367,,Total,Rp265.358.482,Rp224.860.840,Rp182.932.252,Rp278.254.175,Rp951.405.749,,Total,Rp252.849.024,Rp180.870.685,Rp163.722.097,Rp0,Rp597.441.806
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIKTOK All Spending & Earning 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,February,,,March,,,April,,,,,,,,,,,,,,,,,,,,,,,,
,Cost,%,,Cost,%,,Cost,%,,Cost,%,,,,,,,,,,,,,,,,,,,,,,
KOL cost,Rp218.669.490,"19,25%",KOL cost,Rp539.900.000,"38,10%",KOL cost,Rp386.200.408,"30,68%",KOL cost,Rp452.464.150,"32,23%",,,,,,,,,,,,,,,,,,,,,,
Ad cost,Rp917.477.353,"80,75%",Ad cost,Rp877.240.162,"61,90%",Ad cost,Rp872.806.367,"69,32%",Ad cost,Rp951.405.749,"67,77%",,,,,,,,,,,,,,,,,,,,,,
Total,Rp1.136.146.843,"100,00%",Total,Rp1.417.140.162,"100,00%",Total,Rp1.259.006.775,"100,00%",Total,Rp1.403.869.899,"100,00%",,,,,,,,,,,,,,,,,,,,,,
Earning,Rp5.062.062.427,,Earning,Rp5.655.081.449,,Earning,Rp4.165.340.798,,Earning,6.029.488.585,,,,,,,,,,,,,,,,,,,,,,,
Actual,Rp3.925.915.584,,Actual,Rp4.237.941.287,,Actual,Rp2.906.334.023,,Actual,Rp4.625.618.686,,,,,,,,,,,,,,,,,,,,,,,
ROI,"3,46",,ROI,"2,99",,ROI,"2,31",,ROI,"3,29",,,,,,,,,,,,,,,,,,,,,,,
