Time period:,,,,January,,Time period:,,,,February,,Time period:,,,,Maret,,Time period:,,,,April
Timezone,,,,UTC+7,,Timezone,,,,UTC+7,,Timezone,,,,UTC+7,,Timezone,,,,UTC+7
Currency,,,,IDR,,Currency,,,,IDR,,Currency,,,,IDR,,Currency,,,,IDR
,,,,,,,,,,,,,,,,,,,,,,
Total settlement amount,,,,5062062427,,Total settlement amount,,,,5442216119,,Total settlement amount,,,,4086543951,,Total settlement amount,,,,6029488585
,Total Revenue,,,7890216978,,,Total Revenue,,,8679875182,,,Total Revenue,,,6349482727,,,Total Revenue,,,9932118590
,,Subtotal after seller discounts,,8040521964,,,,Subtotal after seller discounts,,8852307719,,,,Subtotal after seller discounts,,6485558045,,,,Subtotal after seller discounts,,10234689501
,,,Subtotal before discounts,18718209900,,,,,Subtotal before discounts,21325534100,,,,,Subtotal before discounts,15546237600,,,,,Subtotal before discounts,23512175000
,,,Seller discounts,-10677752903,,,,,Seller discounts,-12473226381,,,,,Seller discounts,-9060679555,,,,,Seller discounts,-13277485499
,,,Distance item fee from Horizon+ Program,64967,,,,,Distance item fee from Horizon+ Program,0,,,,,Distance item fee from Horizon+ Program,0,,,,,Distance item fee from Horizon+ Program,0
,,Refund subtotal after seller discounts,,-150304986,,,,Refund subtotal after seller discounts,,-172432537,,,,Refund subtotal after seller discounts,,-136075318,,,,Refund subtotal after seller discounts,,-302570911
,,,Refund subtotal before seller discounts,-356371459,,,,,Refund subtotal before seller discounts,-429258458,,,,,Refund subtotal before seller discounts,-325769768,,,,,Refund subtotal before seller discounts,-712406832
,,,Refund of seller discounts,206066473,,,,,Refund of seller discounts,256825921,,,,,Refund of seller discounts,189694450,,,,,Refund of seller discounts,409835921
,Total Fees,,,-2685297206,,,Total Fees,,,-3024793733,,,Total Fees,,,-2184141929,,,Total Fees,,,-3442525263
,,Platform commission fee,,-566636466,,,,Platform commission fee,,-630496700,,,,Platform commission fee,,-479390335,,,,Platform commission fee,,-734651667
,,Pre-order service fee,,0,,,,Pre-order service fee,,0,,,,Pre-order service fee,,0,,,,Pre-order service fee,,0
,,Mall service fee,,-142017838,,,,Mall service fee,,-155184317,,,,Mall service fee,,-114271473,,,,Mall service fee,,-178781817
,,Payment Fee,,0,,,,Payment Fee,,0,,,,Payment Fee,,0,,,,Payment Fee,,0
,,Shipping cost,,-11201322,,,,Shipping cost,,-64820949,,,,Shipping cost,,-11877138,,,,Shipping cost,,-19988638
,,,Shipping costs passed on to the logistics provider,-2294611600,,,,,Shipping costs passed on to the logistics provider,-2694007600,,,,,Shipping costs passed on to the logistics provider,-2249648500,,,,,Shipping costs passed on to the logistics provider,-3148995800
,,,Replacement shipping fee (passed on to the customer),0,,,,,Replacement shipping fee (passed on to the customer),0,,,,,Replacement shipping fee (passed on to the customer),0,,,,,Replacement shipping fee (passed on to the customer),0
,,,Exchange shipping fee (passed on to the customer),0,,,,,Exchange shipping fee (passed on to the customer),0,,,,,Exchange shipping fee (passed on to the customer),0,,,,,Exchange shipping fee (passed on to the customer),0
,,,Shipping cost borne by the platform,2004189223,,,,,Shipping cost borne by the platform,2380613649,,,,,Shipping cost borne by the platform,2029614213,,,,,Shipping cost borne by the platform,2800789543
,,,Shipping cost paid by the customer,281703979,,,,,Shipping cost paid by the customer,253001502,,,,,Shipping cost paid by the customer,212235149,,,,,Shipping cost paid by the customer,337785119
,,,Refunded shipping cost paid by the customer,-3597857,,,,,Refunded shipping cost paid by the customer,-3725500,,,,,Refunded shipping cost paid by the customer,-3299000,,,,,Refunded shipping cost paid by the customer,-8103000
,,,Return shipping costs (passed on to the customer),-767000,,,,,Return shipping costs (passed on to the customer),-703000,,,,,Return shipping costs (passed on to the customer),-779000,,,,,Return shipping costs (passed on to the customer),-1464500
,,,Shipping cost subsidy,0,,,,,Shipping cost subsidy,0,,,,,Shipping cost subsidy,0,,,,,Shipping cost subsidy,0
,,,Distance shipping fee from Horizon+ Program,1881933,,,,,Distance shipping fee from Horizon+ Program,0,,,,,Distance shipping fee from Horizon+ Program,0,,,,,Distance shipping fee from Horizon+ Program,0
,,Affiliate Commission,,-1070938152,,,,Affiliate Commission,,-1147410986,,,,Affiliate Commission,,-776529290,,,,Affiliate Commission,,-1329257356
,,Affiliate partner commission,,-1324223,,,,Affiliate partner commission,,-1092509,,,,Affiliate partner commission,,-722279,,,,Affiliate partner commission,,-1169662
,,Affiliate Shop Ads commission,,-160288913,,,,Affiliate Shop Ads commission,,-162734857,,,,Affiliate Shop Ads commission,,-141241020,,,,Affiliate Shop Ads commission,,-219249082
,,Affiliate Partner shop ads commission,,-515566,,,,Affiliate Partner shop ads commission,,-428789,,,,Affiliate Partner shop ads commission,,-109904,,,,Affiliate Partner shop ads commission,,-260461
,,Shipping Fee Program service fee,,-5360,,,,Shipping Fee Program service fee,,0,,,,Shipping Fee Program service fee,,0,,,,Shipping Fee Program service fee,,0
,,Dynamic commission,,-338408406,,,,Dynamic commission,,-372969288,,,,Dynamic commission,,-278978466,,,,Dynamic commission,,-432237890
,,Bonus cashback service fee,,-287272210,,,,Bonus cashback service fee,,-357133473,,,,Bonus cashback service fee,,-273587024,,,,Bonus cashback service fee,,-377584940
,,LIVE Specials service fee,,0,,,,LIVE Specials service fee,,0,,,,LIVE Specials service fee,,0,,,,LIVE Specials service fee,,0
,,Voucher Xtra service fee,,0,,,,Voucher Xtra service fee,,0,,,,Voucher Xtra service fee,,0,,,,Voucher Xtra service fee,,0
,,Order processing fee,,-106688750,,,,Order processing fee,,-132466250,,,,Order processing fee,,-107435000,,,,Order processing fee,,-149343750
,,EAMS Program service fee,,0,,,,EAMS Program service fee,,0,,,,EAMS Program service fee,,0,,,,EAMS Program service fee,,0
,,Brands Crazy Deals/Flash Sale service fee,,0,,,,Brands Crazy Deals/Flash Sale service fee,,0,,,,Brands Crazy Deals/Flash Sale service fee,,0,,,,Brands Crazy Deals/Flash Sale service fee,,0
,,Dilayani Tokopedia fee,,0,,,,Dilayani Tokopedia fee,,0,,,,Dilayani Tokopedia fee,,0,,,,Dilayani Tokopedia fee,,0
